iter	Passed	Remaining
713	1327	531
714	1328	529
715	1328	527
716	1329	524
717	1336	524
718	1337	522
719	1339	520
720	1340	518
721	1341	516
722	1342	514
723	1343	512
724	1348	511
725	1350	509
726	1351	507
727	1354	506
728	1355	504
729	1357	501
730	1358	499
731	1359	497
732	1365	497
733	1367	495
734	1368	493
735	1370	491
736	1371	489
737	1373	487
738	1378	486
739	1380	484
740	1381	482
741	1383	480
742	1385	479
743	1386	477
744	1387	474
745	1396	475
746	1397	473
747	1399	471
748	1401	469
749	1402	467
750	1403	465
751	1411	465
752	1413	463
753	1414	461
754	1416	459
755	1417	457
756	1418	455
757	1425	455
758	1427	453
759	1428	451
760	1429	449
761	1430	446
762	1432	444
763	1433	442
764	1440	442
765	1441	440
766	1443	438
767	1446	436
768	1447	434
769	1449	432
770	1459	433
771	1461	431
772	1463	429
773	1464	427
774	1465	425
775	1467	423
776	1469	421
777	1471	419
778	1472	417
779	1473	415
780	1475	413
781	1478	412
782	1479	409
783	1483	408
784	1489	407
785	1491	406
786	1499	405
787	1501	403
788	1504	402
789	1506	400
790	1508	398
791	1518	398
792	1520	396
793	1521	394
794	1523	392
795	1524	390
796	1528	389
797	1530	387
798	1531	385
799	1532	383
800	1533	381
801	1535	378
802	1538	377
803	1542	376
804	1544	374
805	1546	372
806	1548	370
807	1549	368
808	1550	366
809	1552	364
810	1554	362
811	1555	360
812	1558	358
813	1559	356
814	1568	356
815	1570	354
816	1571	352
817	1573	350
818	1575	348
819	1583	347
820	1585	345
821	1586	343
822	1587	341
823	1588	339
824	1590	337
825	1598	336
826	1600	334
827	1601	332
828	1603	330
829	1604	328
830	1616	328
831	1618	326
832	1620	324
833	1630	324
834	1632	322
835	1633	320
836	1635	318
837	1637	316
838	1646	315
839	1649	314
840	1650	312
841	1651	309
842	1660	309
843	1662	307
844	1663	305
845	1664	303
846	1665	300
847	1666	298
848	1667	296
849	1668	294
850	1676	293
851	1677	291
852	1679	289
853	1680	287
854	1682	285
855	1684	283
856	1691	282
857	1692	280
858	1694	278
859	1695	276
860	1698	274
861	1699	272
862	1707	271
863	1708	268
864	1710	266
865	1711	264
866	1711	262
867	1712	260
868	1713	258
869	1714	256
870	1722	255
871	1723	253
872	1725	251
873	1726	248
874	1728	246
875	1729	244
876	1735	243
877	1736	241
878	1738	239
879	1739	237
880	1741	235
881	1742	233
882	1744	231
883	1744	228
884	1750	227
885	1751	225
886	1754	223
887	1755	221
888	1757	219
889	1758	217
890	1771	216
891	1773	214
892	1774	212
893	1775	210
894	1776	208
895	1778	206
896	1780	204
897	1781	202
898	1782	200
899	1784	198
900	1793	197
901	1795	195
902	1796	192
903	1797	190
904	1799	188
905	1800	186
906	1809	185
907	1811	183
908	1813	181
909	1814	179
910	1816	177
911	1818	175
912	1819	173
913	1821	171
914	1822	169
915	1823	167
916	1831	165
917	1832	163
918	1834	161
919	1836	159
920	1837	157
921	1839	155
922	1841	153
923	1842	151
924	1844	149
925	1845	147
926	1854	146
927	1855	143
928	1858	142
929	1860	140
930	1861	137
931	1865	136
932	1866	134
933	1868	132
934	1869	129
935	1876	128
936	1878	126
937	1880	124
938	1881	122
939	1883	120
940	1884	118
941	1885	116
942	1894	114
943	1895	112
944	1897	110
945	1899	108
946	1900	106
947	1910	104
948	1911	102
949	1913	100
950	1916	98
951	1925	97
952	1928	95
953	1929	93
954	1932	91
955	1940	89
956	1942	87
957	1943	85
958	1944	83
959	1946	81
960	1947	79
961	1952	77
962	1956	75
963	1958	73
964	1959	71
965	1961	69
966	1962	66
967	1963	64
968	1971	63
969	1972	61
970	1973	58
971	1975	56
972	1976	54
973	1977	52
974	1978	50
975	1981	48
976	1984	46
977	1985	44
978	1986	42
979	1986	40
980	1987	38
981	1988	36
982	1989	34
983	1990	32
984	1991	30
985	1992	28
986	1993	26
987	1997	24
988	1999	22
989	2000	20
990	2001	18
991	2001	16
992	2002	14
993	2003	12
994	2004	10
995	2005	8
996	2006	6
997	2007	4
998	2010	2
999	2011	0
